step,t,x,y,z,yaw,qw,qx,qy,qz
0,0.0,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
1,0.02,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
2,0.04,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
3,0.06,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
4,0.08,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
5,0.1,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
6,0.12,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
7,0.14,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
8,0.16,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
9,0.18,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
10,0.2,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
11,0.22,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
12,0.24,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
13,0.26,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
14,0.28,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
15,0.3,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
16,0.32,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
17,0.34,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
18,0.36,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
19,0.38,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
20,0.4,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
21,0.42,-10.0,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
22,0.44,-9.991999626159668,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
23,0.46,-9.983999252319336,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
24,0.48,-9.975998878479004,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
25,0.5,-9.967998504638672,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
26,0.52,-9.95999813079834,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
27,0.54,-9.951997756958008,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
28,0.56,-9.943997383117676,-10.0,0.8199999928474426,0.0,1.0,0.0,0.0,0.0
